,count,mean,std,min,25%,50%,75%,max,missing_count,missing_pct
SALLE_B201_(A_1_ETAGE_TOUR_B) V L1-N (V) [MAX] ,57375.0,227.05190279610045,1.7335662621828742,217.7,225.9,227.2,228.3,234.4,2817,4.680023923444976
SALLE_B201_(A_1_ETAGE_TOUR_B) V L2-L3 (V) [MIN] ,57375.0,391.2669758155859,3.0158523251989764,227.5,389.4,391.5,393.4,399.1,2817,4.680023923444976
SALLE_B201_(A_1_ETAGE_TOUR_B) V L2-L3 (V) [AVG] ,57375.0,392.2369564822567,2.824415015341298,377.27,390.38,392.47,394.31,399.68,2817,4.680023923444976
SALLE_B201_(A_1_ETAGE_TOUR_B) V L2-L3 (V) [MAX] ,57375.0,393.1728549734449,2.820125932165118,377.7,391.3,393.4,395.2,406.2,2817,4.680023923444976
SALLE_B201_(A_1_ETAGE_TOUR_B) V L2-N (V) [MIN] ,57375.0,225.01298912787126,1.6821433658603648,193.9,223.9,225.2,226.2,230.1,2817,4.680023923444976
SALLE_B201_(A_1_ETAGE_TOUR_B) V L2-N (V) [AVG] ,57375.0,225.7641867794146,1.6435761097969712,217.14,224.68,225.89,226.96,230.44,2817,4.680023923444976
SALLE_B201_(A_1_ETAGE_TOUR_B) V L2-N (V) [MAX] ,57375.0,226.46282182949292,1.6776965751191386,217.5,225.4,226.6,227.7,233.2,2817,4.680023923444976
SALLE_B201_(A_1_ETAGE_TOUR_B) V L3-L1 (V) [MIN] ,57375.0,393.8360627752954,3.064346032105522,349.8,391.9,394.1,396.1,401.7,2817,4.680023923444976
SALLE_B201_(A_1_ETAGE_TOUR_B) V L3-L1 (V) [AVG] ,57375.0,394.91080669774465,2.96534961276002,379.5,392.97,395.16,397.08,402.99,2817,4.680023923444976
SALLE_B201_(A_1_ETAGE_TOUR_B) V L3-L1 (V) [MAX] ,57375.0,395.924125343652,2.9670673431116144,379.9,394.0,396.1,398.1,408.8,2817,4.680023923444976
SALLE_B201_(A_1_ETAGE_TOUR_B) V L3-N (V) [MIN] ,57375.0,225.81834811114982,1.7475052286083887,181.0,224.7,226.0,227.1,230.5,2817,4.680023923444976
SALLE_B201_(A_1_ETAGE_TOUR_B) V L3-N (V) [AVG] ,57375.0,226.52090153669667,1.6901087882703583,217.47,225.43,226.68,227.77,230.97,2817,4.680023923444976
